<img src="../assets/svgs/materialdesign/svg/thermometer.svg" height=32 style="margin:0">, <code>E50F</code>, thermometer, <img src="../assets/svgs/materialdesign/svg/account.svg" height=32 style="margin:0">, <code>E004</code>, account
<img src="../assets/svgs/materialdesign/svg/water.svg" height=32 style="margin:0">, <code>E58C</code>, water, <img src="../assets/svgs/materialdesign/svg/human-greeting.svg" height=32 style="margin:0">, <code>E64A</code>, human-greeting
<img src="../assets/svgs/materialdesign/svg/water-percent.svg" height=32 style="margin:0">, <code>E58E</code>, water-percent, <img src="../assets/svgs/materialdesign/svg/run.svg" height=32 style="margin:0">, <code>E70E</code>, run
<img src="../assets/svgs/materialdesign/svg/weather-night.svg" height=32 style="margin:0">, <code>E594</code>, weather-night, <img src="../assets/svgs/materialdesign/svg/alert.svg" height=32 style="margin:0">, <code>E026</code>, alert
<img src="../assets/svgs/materialdesign/svg/weather-sunny.svg" height=32 style="margin:0">, <code>E599</code>, weather-sunny, <img src="../assets/svgs/materialdesign/svg/cctv.svg" height=32 style="margin:0">, <code>E7AE</code>, cctv
<img src="../assets/svgs/materialdesign/svg/white-balance-sunny.svg" height=32 style="margin:0">, <code>E5A8</code>, white-balance-sunny, <img src="../assets/svgs/materialdesign/svg/door-closed.svg" height=32 style="margin:0">, <code>E81B</code>, door-closed
<img src="../assets/svgs/materialdesign/svg/blinds.svg" height=32 style="margin:0">, <code>E0AC</code>, blinds, <img src="../assets/svgs/materialdesign/svg/door-closed-lock.svg" height=32 style="margin:0">, <code>F0AF</code>, door-closed-lock
<img src="../assets/svgs/materialdesign/svg/blinds-open.svg" height=32 style="margin:0">, <code>F011</code>, blinds-open, <img src="../assets/svgs/materialdesign/svg/door-open.svg" height=32 style="margin:0">, <code>E81C</code>, door-open
<img src="../assets/svgs/materialdesign/svg/garage-open-variant.svg" height=32 style="margin:0">, <code>F2D4</code>, garage-open-variant, <img src="../assets/svgs/materialdesign/svg/key-variant.svg" height=32 style="margin:0">, <code>E30B</code>, key-variant
<img src="../assets/svgs/materialdesign/svg/garage-variant.svg" height=32 style="margin:0">, <code>F2D3</code>, garage-variant, <img src="../assets/svgs/materialdesign/svg/lock.svg" height=32 style="margin:0">, <code>E33E</code>, lock
<img src="../assets/svgs/materialdesign/svg/window-shutter.svg" height=32 style="margin:0">, <code>F11C</code>, window-shutter, <img src="../assets/svgs/materialdesign/svg/lock-open-variant.svg" height=32 style="margin:0">, <code>EFC6</code>, lock-open-variant
<img src="../assets/svgs/materialdesign/svg/window-shutter-alert.svg" height=32 style="margin:0">, <code>F11D</code>, window-shutter-alert, <img src="../assets/svgs/materialdesign/svg/shield-check.svg" height=32 style="margin:0">, <code>E565</code>, shield-check
<img src="../assets/svgs/materialdesign/svg/window-shutter-open.svg" height=32 style="margin:0">, <code>F11E</code>, window-shutter-open, <img src="../assets/svgs/materialdesign/svg/shield-home.svg" height=32 style="margin:0">, <code>E68A</code>, shield-home
<img src="../assets/svgs/materialdesign/svg/bell.svg" height=32 style="margin:0">, <code>E09A</code>, bell, <img src="../assets/svgs/materialdesign/svg/shield-lock.svg" height=32 style="margin:0">, <code>E99D</code>, shield-lock
<img src="../assets/svgs/materialdesign/svg/cellphone.svg" height=32 style="margin:0">, <code>E11C</code>, cellphone, <img src="../assets/svgs/materialdesign/svg/window-closed-variant.svg" height=32 style="margin:0">, <code>F1DB</code>, window-closed-variant
<img src="../assets/svgs/materialdesign/svg/dishwasher.svg" height=32 style="margin:0">, <code>EAAC</code>, dishwasher, <img src="../assets/svgs/materialdesign/svg/monitor-speaker.svg" height=32 style="margin:0">, <code>EF5F</code>, monitor-speaker
<img src="../assets/svgs/materialdesign/svg/engine.svg" height=32 style="margin:0">, <code>E1FA</code>, engine, <img src="../assets/svgs/materialdesign/svg/music.svg" height=32 style="margin:0">, <code>E75A</code>, music
<img src="../assets/svgs/materialdesign/svg/fan.svg" height=32 style="margin:0">, <code>E210</code>, fan, <img src="../assets/svgs/materialdesign/svg/pause.svg" height=32 style="margin:0">, <code>E3E4</code>, pause
<img src="../assets/svgs/materialdesign/svg/fountain.svg" height=32 style="margin:0">, <code>E96B</code>, fountain, <img src="../assets/svgs/materialdesign/svg/play.svg" height=32 style="margin:0">, <code>E40A</code>, play
<img src="../assets/svgs/materialdesign/svg/fridge-outline.svg" height=32 style="margin:0">, <code>E28F</code>, fridge-outline, <img src="../assets/svgs/materialdesign/svg/repeat.svg" height=32 style="margin:0">, <code>E456</code>, repeat
<img src="../assets/svgs/materialdesign/svg/kettle.svg" height=32 style="margin:0">, <code>E5FA</code>, kettle, <img src="../assets/svgs/materialdesign/svg/repeat-off.svg" height=32 style="margin:0">, <code>E457</code>, repeat-off
<img src="../assets/svgs/materialdesign/svg/laptop.svg" height=32 style="margin:0">, <code>E322</code>, laptop, <img src="../assets/svgs/materialdesign/svg/repeat-once.svg" height=32 style="margin:0">, <code>E458</code>, repeat-once
<img src="../assets/svgs/materialdesign/svg/microwave.svg" height=32 style="margin:0">, <code>EC99</code>, microwave, <img src="../assets/svgs/materialdesign/svg/shuffle.svg" height=32 style="margin:0">, <code>E49D</code>, shuffle
<img src="../assets/svgs/materialdesign/svg/robot-mower-outline.svg" height=32 style="margin:0">, <code>F1F3</code>, robot-mower-outline, <img src="../assets/svgs/materialdesign/svg/shuffle-disabled.svg" height=32 style="margin:0">, <code>E49E</code>, shuffle-disabled
<img src="../assets/svgs/materialdesign/svg/robot-vacuum.svg" height=32 style="margin:0">, <code>E70D</code>, robot-vacuum, <img src="../assets/svgs/materialdesign/svg/skip-next.svg" height=32 style="margin:0">, <code>E4AD</code>, skip-next
<img src="../assets/svgs/materialdesign/svg/stove.svg" height=32 style="margin:0">, <code>E4DE</code>, stove, <img src="../assets/svgs/materialdesign/svg/skip-previous.svg" height=32 style="margin:0">, <code>E4AE</code>, skip-previous
<img src="../assets/svgs/materialdesign/svg/television.svg" height=32 style="margin:0">, <code>E502</code>, television, <img src="../assets/svgs/materialdesign/svg/speaker.svg" height=32 style="margin:0">, <code>E4C3</code>, speaker
<img src="../assets/svgs/materialdesign/svg/trash-can-outline.svg" height=32 style="margin:0">, <code>EA7A</code>, trash-can-outline, <img src="../assets/svgs/materialdesign/svg/stop.svg" height=32 style="margin:0">, <code>E4DB</code>, stop
<img src="../assets/svgs/materialdesign/svg/tumble-dryer.svg" height=32 style="margin:0">, <code>E917</code>, tumble-dryer, <img src="../assets/svgs/materialdesign/svg/volume-high.svg" height=32 style="margin:0">, <code>E57E</code>, volume-high
