Icon,Code,Name,Icon ,Code ,Name 
<span class="mdi-icon" style="mask:url(../icons/weather-pouring.svg);-webkit-mask-box-image:url(../icons/weather-pouring.svg)"></span>, <code>E596</code>, weather-pouring , <span class="mdi-icon" style="mask:url(../icons/plus.svg);-webkit-mask-box-image:url(../icons/plus.svg)"></span>, <code>E415</code>, plus
<span class="mdi-icon" style="mask:url(../icons/weather-rainy.svg);-webkit-mask-box-image:url(../icons/weather-rainy.svg)"></span>, <code>E597</code>, weather-rainy , <span class="mdi-icon" style="mask:url(../icons/bed.svg);-webkit-mask-box-image:url(../icons/bed.svg)"></span>, <code>E2E3</code>, bed
<span class="mdi-icon" style="mask:url(../icons/weather-snowy.svg);-webkit-mask-box-image:url(../icons/weather-snowy.svg)"></span>, <code>E598</code>, weather-snowy , <span class="mdi-icon" style="mask:url(../icons/car.svg);-webkit-mask-box-image:url(../icons/car.svg)"></span>, <code>E10B</code>, car
<span class="mdi-icon" style="mask:url(../icons/weather-snowy-rainy.svg);-webkit-mask-box-image:url(../icons/weather-snowy-rainy.svg)"></span>, <code>E67F</code>, weather-snowy-rainy , <span class="mdi-icon" style="mask:url(../icons/coffee.svg);-webkit-mask-box-image:url(../icons/coffee.svg)"></span>, <code>E176</code>, coffee
<span class="mdi-icon" style="mask:url(../icons/weather-sunny.svg);-webkit-mask-box-image:url(../icons/weather-sunny.svg)"></span>, <code>E599</code>, weather-sunny, <span class="mdi-icon" style="mask:url(../icons/pool.svg);-webkit-mask-box-image:url(../icons/pool.svg)"></span>, <code>E606</code>, pool
<span class="mdi-icon" style="mask:url(../icons/weather-windy.svg);-webkit-mask-box-image:url(../icons/weather-windy.svg)"></span>, <code>E59D</code>, weather-windy , <span class="mdi-icon" style="mask:url(../icons/shower.svg);-webkit-mask-box-image:url(../icons/shower.svg)"></span>, <code>E9A0</code>, shower
<span class="mdi-icon" style="mask:url(../icons/weather-windy-variant.svg);-webkit-mask-box-image:url(../icons/weather-windy-variant.svg)"></span>, <code>E59E</code>, weather-windy-variant , <span class="mdi-icon" style="mask:url(../icons/silverware-fork-knife.svg);-webkit-mask-box-image:url(../icons/silverware-fork-knife.svg)"></span>, <code>EA70</code>, silverware-fork-knife
<span class="mdi-icon" style="mask:url(../icons/white-balance-sunny.svg);-webkit-mask-box-image:url(../icons/white-balance-sunny.svg)"></span>, <code>E5A8</code>, white-balance-sunny, <span class="mdi-icon" style="mask:url(../icons/sofa.svg);-webkit-mask-box-image:url(../icons/sofa.svg)"></span>, <code>E4B9</code>, sofa
<span class="mdi-icon" style="mask:url(../icons/calendar.svg);-webkit-mask-box-image:url(../icons/calendar.svg)"></span>, <code>E0ED</code>, calendar, <span class="mdi-icon" style="mask:url(../icons/toilet.svg);-webkit-mask-box-image:url(../icons/toilet.svg)"></span>, <code>E9AB</code>, toilet
<span class="mdi-icon" style="mask:url(../icons/clock-outline.svg);-webkit-mask-box-image:url(../icons/clock-outline.svg)"></span>, <code>E150</code>, clock-outline, <span class="mdi-icon" style="mask:url(../icons/account.svg);-webkit-mask-box-image:url(../icons/account.svg)"></span>, <code>E004</code>, account
<span class="mdi-icon" style="mask:url(../icons/history.svg);-webkit-mask-box-image:url(../icons/history.svg)"></span>, <code>E2DA</code>, history, <span class="mdi-icon" style="mask:url(../icons/human-greeting.svg);-webkit-mask-box-image:url(../icons/human-greeting.svg)"></span>, <code>E64A</code>, human-greeting
<span class="mdi-icon" style="mask:url(../icons/timer-outline.svg);-webkit-mask-box-image:url(../icons/timer-outline.svg)"></span>, <code>E51B</code>, timer-outline, <span class="mdi-icon" style="mask:url(../icons/run.svg);-webkit-mask-box-image:url(../icons/run.svg)"></span>, <code>E70E</code>, run
<span class="mdi-icon" style="mask:url(../icons/bluetooth.svg);-webkit-mask-box-image:url(../icons/bluetooth.svg)"></span>, <code>E0AF</code>, bluetooth, <span class="mdi-icon" style="mask:url(../icons/alert.svg);-webkit-mask-box-image:url(../icons/alert.svg)"></span>, <code>E026</code>, alert
<span class="mdi-icon" style="mask:url(../icons/wifi.svg);-webkit-mask-box-image:url(../icons/wifi.svg)"></span>, <code>E5A9</code>, wifi, <span class="mdi-icon" style="mask:url(../icons/cctv.svg);-webkit-mask-box-image:url(../icons/cctv.svg)"></span>, <code>E7AE</code>, cctv
<span class="mdi-icon" style="mask:url(../icons/blinds.svg);-webkit-mask-box-image:url(../icons/blinds.svg)"></span>, <code>E0AC</code>, blinds, <span class="mdi-icon" style="mask:url(../icons/door-closed.svg);-webkit-mask-box-image:url(../icons/door-closed.svg)"></span>, <code>E81B</code>, door-closed
<span class="mdi-icon" style="mask:url(../icons/blinds-open.svg);-webkit-mask-box-image:url(../icons/blinds-open.svg)"></span>, <code>F011</code>, blinds-open, <span class="mdi-icon" style="mask:url(../icons/door-closed-lock.svg);-webkit-mask-box-image:url(../icons/door-closed-lock.svg)"></span>, <code>F0AF</code>, door-closed-lock
<span class="mdi-icon" style="mask:url(../icons/garage-open-variant.svg);-webkit-mask-box-image:url(../icons/garage-open-variant.svg)"></span>, <code>F2D4</code>, garage-open-variant, <span class="mdi-icon" style="mask:url(../icons/door-open.svg);-webkit-mask-box-image:url(../icons/door-open.svg)"></span>, <code>E81C</code>, door-open
<span class="mdi-icon" style="mask:url(../icons/garage-variant.svg);-webkit-mask-box-image:url(../icons/garage-variant.svg)"></span>, <code>F2D3</code>, garage-variant, <span class="mdi-icon" style="mask:url(../icons/key-variant.svg);-webkit-mask-box-image:url(../icons/key-variant.svg)"></span>, <code>E30B</code>, key-variant
<span class="mdi-icon" style="mask:url(../icons/window-shutter.svg);-webkit-mask-box-image:url(../icons/window-shutter.svg)"></span>, <code>F11C</code>, window-shutter, <span class="mdi-icon" style="mask:url(../icons/lock.svg);-webkit-mask-box-image:url(../icons/lock.svg)"></span>, <code>E33E</code>, lock
<span class="mdi-icon" style="mask:url(../icons/window-shutter-alert.svg);-webkit-mask-box-image:url(../icons/window-shutter-alert.svg)"></span>, <code>F11D</code>, window-shutter-alert, <span class="mdi-icon" style="mask:url(../icons/lock-open-variant.svg);-webkit-mask-box-image:url(../icons/lock-open-variant.svg)"></span>, <code>EFC6</code>, lock-open-variant
