Icon,Code,Name,Icon ,Code ,Name 
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-hail.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-hail.svg)"></span>, <code>E592</code>, weather-hail , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/cog.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/cog.svg)"></span>, <code>E493</code>, cog
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-lightning.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-lightning.svg)"></span>, <code>E593</code>, weather-lightning , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/dots-vertical.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/dots-vertical.svg)"></span>, <code>E1D9</code>, dots-vertical
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-lightning-rainy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-lightning-rainy.svg)"></span>, <code>E67E</code>, weather-lightning-rainy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/home.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/home.svg)"></span>, <code>E2DC</code>, home
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-night.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-night.svg)"></span>, <code>E594</code>, weather-night, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/home-outline.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/home-outline.svg)"></span>, <code>E6A1</code>, home-outline
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-partly-cloudy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-partly-cloudy.svg)"></span>, <code>E595</code>, weather-partly-cloudy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/minus.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/minus.svg)"></span>, <code>E374</code>, minus
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-pouring.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-pouring.svg)"></span>, <code>E596</code>, weather-pouring , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/plus.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/plus.svg)"></span>, <code>E415</code>, plus
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-rainy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-rainy.svg)"></span>, <code>E597</code>, weather-rainy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/bed.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/bed.svg)"></span>, <code>E2E3</code>, bed
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-snowy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-snowy.svg)"></span>, <code>E598</code>, weather-snowy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/car.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/car.svg)"></span>, <code>E10B</code>, car
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-snowy-rainy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-snowy-rainy.svg)"></span>, <code>E67F</code>, weather-snowy-rainy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/coffee.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/coffee.svg)"></span>, <code>E176</code>, coffee
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-sunny.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-sunny.svg)"></span>, <code>E599</code>, weather-sunny, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/pool.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/pool.svg)"></span>, <code>E606</code>, pool
